mal_id	title	type	source	genre_action	genre_adventure	genre_comedy	genre_dementia	genre_demons	genre_drama	genre_ecchi	genre_fantasy	genre_game	genre_harem	genre_historical	genre_horror	genre_josei	genre_magic	genre_martial_arts	genre_mecha	genre_military	genre_music	genre_mystery	genre_parody	genre_police	genre_psychological	genre_romance	genre_samurai	genre_school	genre_sci_fi	genre_seinen	genre_shoujo	genre_shoujo_ai	genre_shounen	genre_slice_of_life	genre_space	genre_sports	genre_super_power	genre_supernatural	genre_thriller	genre_vampire	age_rating	year	season	air_start	air_end	episode_duration	episodes	score	score_rank	members	favorites	popularity_rank	studio	producer	licensor	url	url_image
1	Cowboy Bebop	tv	original	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	R	1998	spring	1998-04-03	1999-04-24	1440	26	8.81	27	824082	44739	38	Sunrise	Bandai Visual	Funimation	https://myanimelist.net/anime/1/Cowboy_Bebop	https://cdn.myanimelist.net/images/anime/4/19644.jpg
10012	Carnival Phantasm	ova	manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	PG-13	2011	summer	2011-08-14	2011-12-31	840	12	7.96	613	115793	1082	900	Lerche	Notes	none	https://myanimelist.net/anime/10012/Carnival_Phantasm	https://cdn.myanimelist.net/images/anime/1018/92921.jpg
10020	Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials	ona	light novel	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	PG-13	2011	winter	2011-02-22	2011-05-31	1680	4	7.5	1738	145778	180	775	AIC Build	Aniplex	Aniplex of America	https://myanimelist.net/anime/10020/Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai_Specials	https://cdn.myanimelist.net/images/anime/8/29734.jpg
10083	Shiki Specials	special	light novel	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	R	2011	spring	2011-05-25	2011-06-22	1380	2	7.83	763	55558	82	1884	Daume	Aniplex	Funimation	https://myanimelist.net/anime/10083/Shiki_Specials	https://cdn.myanimelist.net/images/anime/3/36543.jpg
10087	Fate/Zero	tv	light novel	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	R	2011	fall	2011-10-02	2011-12-25	1680	13	8.42	155	757833	23161	47	ufotable	Aniplex	Aniplex of America	https://myanimelist.net/anime/10087/Fate_Zero	https://cdn.myanimelist.net/images/anime/2/73249.jpg
101	Air	tv	visual novel	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	PG-13	2005	winter	2005-01-07	2005-03-25	1440	12	7.4	2077	230382	2603	406	Kyoto Animation	Pony Canyon	ADV Films	https://myanimelist.net/anime/101/Air	https://cdn.myanimelist.net/images/anime/8/22059.jpg
10110	Mayo Chiki!	tv	light novel	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	R+	2011	summer	2011-07-08	2011-09-30	1440	13	7.45	1861	302603	1626	289	feel.	Starchild Records	Sentai Filmworks	https://myanimelist.net/anime/10110/Mayo_Chiki	https://cdn.myanimelist.net/images/anime/13/29971.jpg
10162	Usagi Drop	tv	manga	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	PG-13	2011	summer	2011-07-08	2011-09-16	1320	11	8.5	112	302507	5089	273	Production I.G	Fuji TV	NIS America, Inc.	https://myanimelist.net/anime/10162/Usagi_Drop	https://cdn.myanimelist.net/images/anime/2/29665.jpg
10165	Nichijou	tv	manga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	PG-13	2011	spring	2011-04-03	2011-09-25	1380	26	8.51	105	439692	14024	135	Kyoto Animation	Lantis	Funimation	https://myanimelist.net/anime/10165/Nichijou	https://cdn.myanimelist.net/images/anime/3/75617.jpg
10278	The iDOLM@STER	tv	game	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PG-13	2011	summer	2011-07-08	2011-12-23	1440	25	7.66	1180	119955	1518	1001	A-1 Pictures	Aniplex	none	https://myanimelist.net/anime/10278/The_iDOLMSTER	https://cdn.myanimelist.net/images/anime/9/41085.jpg
